id,region,sexo,edad,p72,p72_1,p72_1otr,p72_2,p73,p74,p74_1,p74_2,p74_3,p74_4,p74_4_bis,p75_1,p75_2,p75_3,p75_4,p76horas,p76minutos,horas_internet,minutos_internet,p77_1,p77_2,p77_3,p77_4,p77_5,p77_6,p77_7,p77_8,p77_9,p77_10,p78_1,p78_2,p78_3,p78_4,p78_5,p78_1_1,p78_1_2,p78_1_3,p78_1_4,p78_1_5,p78_2b,p78_3b_1,p78_3b,p79_1,p79_2,p79_3,p79_4,p79_5,p79_6,p79_7,p80horas,p80minutos,horas_redes,minutos_redes,p81,p81_1a,p81_1b,p81_1c,p81_1d,p81_1e,p81_1f,p81_1g,p81_1h,p81_1i,p81_1j,p81_1k,p81_1l,p82,p83,p84,p85,p85_1,p85_2,p85_3,p85_3_bis,p86,p87,p88,p89horas,p89minutos,horas_videojuegos,minutos_videojuegos,p90_1,p90_2,p90_3,p90_4,p91,p91_bis,minutos_radio_1,minutos_radio_total,horas_radio_total,minutos_musica_1,minutos_musica_total,horas_musica_total,minutos_diario_1,minutos_diario_total,horas_diario_total,minutos_tv_1,minutos_tv_total,horas_tv_total,minutos_internet_1,minutos_internet_total,horas_internet_total,minutos_redes_1,minutos_redes_total,horas_redes_total,minutos_videojuegos_1,minutos_videojuegos_total,horas_videojuegos_total
708,PATAGONIA,Mujer,30,SI,, ,NA,NA,SI,NA,,"NO, ES SOLO LO QUE PAGO DE INTERNET",100,100,ALGUNOS DIAS POR SEMANA,TODOS O CASI TODOS LOS DÍAS,NUNCA,NUNCA,2,NO USA,2,NO USA,ALGUNOS DIAS POR SEMANA,ALGUNOS DIAS POR SEMANA,TODOS O CASI TODOS LOS DÍAS,NUNCA,NUNCA,ALGUNA VEZ CADA 3 MESES,ALGUNAS VECES AL MES,ALGUNAS VECES AL MES,NUNCA,NUNCA,SI,NO,NO,NO,NO,TODOS O CASI TODOS LOS DÍAS,NA,NA,NA,NA,NO,NA, ,ALGUNAS VECES AL MES,ALGUNA VEZ AL AÑO O MENOS,NUNCA,NUNCA,NUNCA,ALGUNOS DIAS POR SEMANA,ALGUNA VEZ AL AÑO O MENOS,1,0,1,0,"COMENTA, COMPARTE, PARTICIPA Y/U OPINA FRENTE A CONTENIDOS",NA,,,,,,,,,,,,1,NINGUNA,NO,1,SI,NO,50,50,0,NO,NA,,,0,0,NA,NA,NA,NA,,0,120,150,2.5,120,120,2,60,60,1,120,120,2,120,120,2,60,60,1,0,0,0
709,PATAGONIA,Mujer,50,NO,PORQUE INTERNET ES CARO, ,NO,SI,NO,SI,500,NA,,0,NUNCA,TODOS O CASI TODOS LOS DÍAS,NUNCA,NUNCA,5,NO USA,5,NO USA,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NO,NA, ,NA,NA,NA,NA,NA,NA,NA,,,0,0,NS/NC,NA,,,,,,,,,,,,NINGUNA,NINGUNA,NO,1,SI,SI,300,300,0,NO,NA,,,0,0,NA,NA,NA,NA,,0,180,180,3,180,180,3,0,0,0,300,300,5,300,300,5,0,0,0,0,0,0
710,PATAGONIA,Mujer,71,NO,PORQUE NO APRENDI A USAR INTERNET, ,NO,NO,NA,NA,,NA,,0,NA,NA,NA,NA,,,0,NO USA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, ,NA,NA,NA,NA,NA,NA,NA,,,0,0,NA,NA,,,,,,,,,,,,NINGUNA,NINGUNA,SI,NINGUNO,NA,NA,,0,0,NO,NA,,,0,0,NA,NA,NA,NA,,0,0,0,0,0,0,0,0,0,0,300,300,5,0,0,0,0,0,0,0,0,0
711,PATAGONIA,Varón,18,SI,, ,NA,NA,SI,NA,,"NO, ES SOLO LO QUE PAGO DE INTERNET",500,500,TODOS O CASI TODOS LOS DÍAS,TODOS O CASI TODOS LOS DÍAS,NUNCA,ALGUNOS DIAS POR SEMANA,10,NO USA,10,NO USA,ALGUNOS DIAS POR SEMANA,ALGUNAS VECES AL MES,ALGUNOS DIAS POR SEMANA,ALGUNOS DIAS POR SEMANA,ALGUNOS DIAS POR SEMANA,NUNCA,NUNCA,ALGUNA VEZ CADA 3 MESES,ALGUNA VEZ AL AÑO O MENOS,ALGUNOS DIAS POR SEMANA,SI,SI,SI,SI,NO,TODOS O CASI TODOS LOS DÍAS,TODOS O CASI TODOS LOS DÍAS,TODOS O CASI TODOS LOS DÍAS,TODOS O CASI TODOS LOS DÍAS,NA,NO,NA, ,ALGUNOS DIAS POR SEMANA,TODOS O CASI TODOS LOS DÍAS,ALGUNOS DIAS POR SEMANA,ALGUNOS DIAS POR SEMANA,TODOS O CASI TODOS LOS DÍAS,ALGUNAS VECES AL MES,NUNCA,10,0,10,0,"COMENTA, COMPARTE, PARTICIPA Y/U OPINA FRENTE A CONTENIDOS",NA,,,,,,,,,,,,3,NINGUNA,SI,1,SI,SI,500,500,0,SI,TODOS O CASI TODOS LOS DIAS,4,0,4,0,TODOS O CASI TODOS LOS DIAS,TODOS O CASI TODOS LOS DIAS,NUNCA,TODOS O CASI TODOS LOS DIAS,0,0,0,0,0,420,420,7,0,0,0,480,480,8,600,600,10,600,600,10,240,240,4
712,PATAGONIA,Varón,25,SI,, ,NA,NA,SI,NA,,INCLUYE TELÉFONO,300,300,TODOS O CASI TODOS LOS DÍAS,TODOS O CASI TODOS LOS DÍAS,NUNCA,TODOS O CASI TODOS LOS DÍAS,10,NO USA,10,NO USA,TODOS O CASI TODOS LOS DÍAS,TODOS O CASI TODOS LOS DÍAS,TODOS O CASI TODOS LOS DÍAS,NUNCA,TODOS O CASI TODOS LOS DÍAS,ALGUNOS DIAS POR SEMANA,NUNCA,NUNCA,TODOS O CASI TODOS LOS DÍAS,NUNCA,SI,SI,SI,NO,NO,TODOS O CASI TODOS LOS DÍAS,TODOS O CASI TODOS LOS DÍAS,TODOS O CASI TODOS LOS DÍAS,NA,NA,NO,NA, ,NUNCA,TODOS O CASI TODOS LOS DÍAS,TODOS O CASI TODOS LOS DÍAS,NUNCA,NUNCA,TODOS O CASI TODOS LOS DÍAS,ALGUNA VEZ CADA 3 MESES,3,0,3,0,"COMENTA, COMPARTE, PARTICIPA Y/U OPINA FRENTE A CONTENIDOS",NA,,,,,,,,,,,,1,NINGUNA,SI,1,SI,NO,270,270,0,SI,ALGUNAS VECES AL MES,2,0,2,0,NUNCA,NUNCA,NUNCA,ALGUNOS DIAS POR SEMANA,0,0,180,180,3,240,240,4,0,15,0.25,120,120,2,600,600,10,180,180,3,120,120,2
713,PATAGONIA,Varón,38,SI,, ,NA,NA,SI,NA,,INCLUYE TELÉFONO,200,200,TODOS O CASI TODOS LOS DÍAS,TODOS O CASI TODOS LOS DÍAS,NUNCA,ALGUNOS DIAS POR SEMANA,6,NO USA,6,NO USA,ALGUNOS DIAS POR SEMANA,TODOS O CASI TODOS LOS DÍAS,NUNCA,TODOS O CASI TODOS LOS DÍAS,ALGUNAS VECES AL MES,NUNCA,NUNCA,NUNCA,ALGUNAS VECES AL MES,TODOS O CASI TODOS LOS DÍAS,SI,NO,NO,NO,SI,TODOS O CASI TODOS LOS DÍAS,NA,NA,NA,ALGUNOS DIAS POR SEMANA,NO,NA, ,ALGUNOS DIAS POR SEMANA,NUNCA,ALGUNA VEZ CADA 3 MESES,NUNCA,ALGUNA VEZ AL AÑO O MENOS,ALGUNAS VECES AL MES,TODOS O CASI TODOS LOS DÍAS,3,0,3,0,"OBSERVA LOS CONTENIDOS, SIN HACER COMENTARIOS",NA,,,,,,,,,,,,3,1,SI,1,SI,SI,430,430,0,SI,ALGUNOS DIAS POR SEMANA,3,0,3,0,ALGUNOS DIAS POR SEMANA,ALGUNAS VECES AL MES,NUNCA,ALGUNOS DIAS POR SEMANA,0,0,0,0,0,300,300,5,60,90,1.5,300,300,5,360,360,6,180,180,3,180,180,3
714,PATAGONIA,Varón,45,SI,, ,NA,NA,SI,NA,,INCLUYE TELÉFONO Y CABLE,400,400,TODOS O CASI TODOS LOS DÍAS,TODOS O CASI TODOS LOS DÍAS,NUNCA,NUNCA,2,NO USA,2,NO USA,TODOS O CASI TODOS LOS DÍAS,ALGUNOS DIAS POR SEMANA,TODOS O CASI TODOS LOS DÍAS,ALGUNOS DIAS POR SEMANA,NUNCA,NUNCA,ALGUNAS VECES AL MES,ALGUNAS VECES AL MES,NUNCA,TODOS O CASI TODOS LOS DÍAS,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,SI,WHATSAPP, ,NA,NA,NA,NA,NA,NA,NA,,,0,0,"OBSERVA LOS CONTENIDOS, SIN HACER COMENTARIOS",NA,,,,,,,,,,,,4,NINGUNA,SI,1,SI,SI,700,700,2000,NO,NA,,,0,0,NA,NA,NA,NA,,0,0,15,0.25,0,30,0.5,60,60,1,0,30,0.5,120,120,2,0,0,0,0,0,0
715,PATAGONIA,Varón,65,NO,PORQUE NO LE INTERESA, ,NO,NO,NA,NA,,NA,,0,NA,NA,NA,NA,,,0,NO USA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, ,NA,NA,NA,NA,NA,NA,NA,,,0,0,NA,NA,,,,,,,,,,,,NINGUNA,NINGUNA,SI,2,NO,NA,50,50,0,NO,NA,,,0,0,NA,NA,NA,NA,,0,360,360,6,60,60,1,240,240,4,300,300,5,0,0,0,0,0,0,0,0,0
716,PATAGONIA,Mujer,19,SI,, ,NA,NA,SI,NA,,"NO, ES SOLO LO QUE PAGO DE INTERNET",200,200,TODOS O CASI TODOS LOS DÍAS,TODOS O CASI TODOS LOS DÍAS,NUNCA,ALGUNOS DIAS POR SEMANA,5,NO USA,5,NO USA,ALGUNOS DIAS POR SEMANA,ALGUNOS DIAS POR SEMANA,TODOS O CASI TODOS LOS DÍAS,NUNCA,TODOS O CASI TODOS LOS DÍAS,ALGUNAS VECES AL MES,NUNCA,NUNCA,NUNCA,NUNCA,SI,SI,SI,SI,NO,TODOS O CASI TODOS LOS DÍAS,TODOS O CASI TODOS LOS DÍAS,TODOS O CASI TODOS LOS DÍAS,TODOS O CASI TODOS LOS DÍAS,NA,NO,NA, ,NUNCA,ALGUNOS DIAS POR SEMANA,ALGUNOS DIAS POR SEMANA,NUNCA,ALGUNAS VECES AL MES,TODOS O CASI TODOS LOS DÍAS,NUNCA,3,0,3,0,"PUBLICA, EDITA, CREA, CONSTRUYE Y/O RECICLA CONTENIDOS",FOTOS,IMÁGENES,,,,,,,,,,,1,NINGUNA,NO,1,SI,SI,300,300,0,SI,TODOS O CASI TODOS LOS DIAS,1,0,1,0,TODOS O CASI TODOS LOS DIAS,TODOS O CASI TODOS LOS DIAS,NUNCA,NUNCA,0,0,120,120,2,120,120,2,60,60,1,180,180,3,300,300,5,180,180,3,60,60,1
717,PATAGONIA,Mujer,23,SI,, ,NA,NA,SI,NA,,INCLUYE CABLE,400,400,TODOS O CASI TODOS LOS DÍAS,TODOS O CASI TODOS LOS DÍAS,NUNCA,NUNCA,16,NO USA,16,NO USA,ALGUNOS DIAS POR SEMANA,TODOS O CASI TODOS LOS DÍAS,TODOS O CASI TODOS LOS DÍAS,NUNCA,ALGUNOS DIAS POR SEMANA,ALGUNAS VECES AL MES,ALGUNAS VECES AL MES,NUNCA,NUNCA,TODOS O CASI TODOS LOS DÍAS,SI,SI,SI,NO,NO,TODOS O CASI TODOS LOS DÍAS,TODOS O CASI TODOS LOS DÍAS,TODOS O CASI TODOS LOS DÍAS,NA,NA,NO,NA, ,NUNCA,NUNCA,ALGUNOS DIAS POR SEMANA,NUNCA,NUNCA,ALGUNOS DIAS POR SEMANA,ALGUNAS VECES AL MES,3,0,3,0,"OBSERVA LOS CONTENIDOS, SIN HACER COMENTARIOS",NA,,,,,,,,,,,,1,NINGUNA,SI,1,SI,SI,200,200,0,SI,ALGUNAS VECES AL MES,0,30,0,30,NUNCA,ALGUNOS DIAS POR SEMANA,NUNCA,ALGUNA VEZ AL AÑO O MENOS,0,0,0,0,0,60,60,1,0,15,0.25,120,120,2,960,960,16,180,180,3,0,30,0.5
718,PATAGONIA,Mujer,43,SI,, ,NA,NA,SI,NA,,INCLUYE TELÉFONO Y CABLE,200,200,TODOS O CASI TODOS LOS DÍAS,TODOS O CASI TODOS LOS DÍAS,NUNCA,NUNCA,16,NO USA,16,NO USA,TODOS O CASI TODOS LOS DÍAS,TODOS O CASI TODOS LOS DÍAS,NUNCA,ALGUNOS DIAS POR SEMANA,ALGUNOS DIAS POR SEMANA,NUNCA,NUNCA,NUNCA,NUNCA,ALGUNOS DIAS POR SEMANA,SI,SI,NO,NO,NO,TODOS O CASI TODOS LOS DÍAS,ALGUNOS DIAS POR SEMANA,NA,NA,NA,NO,NA, ,NUNCA,ALGUNAS VECES AL MES,NUNCA,NUNCA,NUNCA,ALGUNOS DIAS POR SEMANA,NUNCA,16,0,16,0,"COMENTA, COMPARTE, PARTICIPA Y/U OPINA FRENTE A CONTENIDOS",NA,,,,,,,,,,,,2,NINGUNA,SI,1,SI,SI,300,300,0,NO,NA,,,0,0,NA,NA,NA,NA,,0,180,180,3,60,90,1.5,0,20,0.333333333,120,120,2,960,960,16,960,960,16,0,0,0
719,PATAGONIA,Mujer,47,SI,, ,NA,NA,SI,NA,,"NO, ES SOLO LO QUE PAGO DE INTERNET",300,300,TODOS O CASI TODOS LOS DÍAS,TODOS O CASI TODOS LOS DÍAS,NUNCA,ALGUNOS DIAS POR SEMANA,8,NO USA,8,NO USA,ALGUNOS DIAS POR SEMANA,NUNCA,TODOS O CASI TODOS LOS DÍAS,ALGUNOS DIAS POR SEMANA,NUNCA,ALGUNA VEZ CADA 3 MESES,ALGUNA VEZ CADA 3 MESES,NUNCA,ALGUNA VEZ AL AÑO O MENOS,ALGUNOS DIAS POR SEMANA,SI,NO,NO,NO,NO,TODOS O CASI TODOS LOS DÍAS,NA,NA,NA,NA,NO,NA, ,NUNCA,ALGUNOS DIAS POR SEMANA,NUNCA,NUNCA,NUNCA,ALGUNA VEZ CADA 3 MESES,NUNCA,2,0,2,0,"OBSERVA LOS CONTENIDOS, SIN HACER COMENTARIOS",NA,,,,,,,,,,,,2,NINGUNA,SI,1,SI,SI,400,400,0,NO,NA,,,0,0,NA,NA,NA,NA,,0,0,30,0.5,0,30,0.5,0,30,0.5,300,300,5,480,480,8,120,120,2,0,0,0
720,PATAGONIA,Mujer,70,SI,, ,NA,NA,SI,NA,,INCLUYE TELÉFONO Y CABLE,280,280,ALGUNOS DIAS POR SEMANA,TODOS O CASI TODOS LOS DÍAS,NUNCA,ALGUNAS VECES AL MES,6,NO USA,6,NO USA,NUNCA,TODOS O CASI TODOS LOS DÍAS,NUNCA,ALGUNOS DIAS POR SEMANA,NUNCA,ALGUNOS DIAS POR SEMANA,ALGUNOS DIAS POR SEMANA,ALGUNOS DIAS POR SEMANA,ALGUNOS DIAS POR SEMANA,NUNCA,SI,NO,NO,NO,NO,TODOS O CASI TODOS LOS DÍAS,NA,NA,NA,NA,NO,NA, ,TODOS O CASI TODOS LOS DÍAS,TODOS O CASI TODOS LOS DÍAS,NUNCA,NUNCA,NUNCA,ALGUNAS VECES AL MES,NUNCA,4,0,4,0,"COMENTA, COMPARTE, PARTICIPA Y/U OPINA FRENTE A CONTENIDOS",NA,,,,,,,,,,,,2,1,SI,1,SI,SI,150,150,0,NO,NA,,,0,0,NA,NA,NA,NA,,0,120,120,2,180,180,3,60,60,1,180,180,3,360,360,6,240,240,4,0,0,0
721,PATAGONIA,Varón,15,SI,, ,NA,NA,SI,NA,,INCLUYE TELÉFONO Y CABLE,NS/NC,NS/NC,ALGUNOS DIAS POR SEMANA,TODOS O CASI TODOS LOS DÍAS,ALGUNA VEZ CADA 3 MESES,ALGUNAS VECES AL MES,2,NO USA,2,NO USA,ALGUNAS VECES AL MES,ALGUNAS VECES AL MES,ALGUNOS DIAS POR SEMANA,NUNCA,ALGUNAS VECES AL MES,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,SI,SI,NO,NO,NO,TODOS O CASI TODOS LOS DÍAS,TODOS O CASI TODOS LOS DÍAS,NA,NA,NA,NO,NA, ,ALGUNA VEZ AL AÑO O MENOS,ALGUNA VEZ AL AÑO O MENOS,ALGUNAS VECES AL MES,ALGUNA VEZ CADA 3 MESES,ALGUNA VEZ AL AÑO O MENOS,ALGUNOS DIAS POR SEMANA,NUNCA,3,0,3,0,"COMENTA, COMPARTE, PARTICIPA Y/U OPINA FRENTE A CONTENIDOS",NA,,,,,,,,,,,,1,1,SI,1,SI,NO,NS/NC,NS/NC,20000,SI,TODOS O CASI TODOS LOS DIAS,2,0,2,0,ALGUNA VEZ CADA 3 MESES,ALGUNA VEZ CADA 3 MESES,ALGUNA VEZ CADA 3 MESES,TODOS O CASI TODOS LOS DIAS,3000,3000,0,0,0,60,60,1,0,0,0,60,60,1,120,120,2,180,180,3,120,120,2
722,PATAGONIA,Varón,27,SI,, ,NA,NA,SI,NA,,INCLUYE TELÉFONO Y CABLE,300,300,TODOS O CASI TODOS LOS DÍAS,TODOS O CASI TODOS LOS DÍAS,NUNCA,NUNCA,16,NO USA,16,NO USA,TODOS O CASI TODOS LOS DÍAS,TODOS O CASI TODOS LOS DÍAS,ALGUNA VEZ AL AÑO O MENOS,ALGUNAS VECES AL MES,ALGUNA VEZ AL AÑO O MENOS,NUNCA,NUNCA,ALGUNA VEZ CADA 3 MESES,ALGUNA VEZ CADA 3 MESES,ALGUNA VEZ CADA 3 MESES,SI,SI,NO,NO,NO,TODOS O CASI TODOS LOS DÍAS,TODOS O CASI TODOS LOS DÍAS,NA,NA,NA,NO,NA, ,ALGUNA VEZ AL AÑO O MENOS,ALGUNAS VECES AL MES,ALGUNA VEZ AL AÑO O MENOS,NUNCA,NUNCA,TODOS O CASI TODOS LOS DÍAS,ALGUNA VEZ CADA 3 MESES,10,0,10,0,"COMENTA, COMPARTE, PARTICIPA Y/U OPINA FRENTE A CONTENIDOS",NA,,,,,,,,,,,,1,NINGUNA,NO,2,SI,SI,600,600,0,NO,NA,,,0,0,NA,NA,NA,NA,,0,120,120,2,960,960,16,60,60,1,300,300,5,960,960,16,600,600,10,0,0,0
723,PATAGONIA,Varón,43,SI,, ,NA,NA,SI,NA,,INCLUYE TELÉFONO,3500,3500,ALGUNOS DIAS POR SEMANA,TODOS O CASI TODOS LOS DÍAS,NUNCA,ALGUNA VEZ CADA 3 MESES,9,NO USA,9,NO USA,ALGUNAS VECES AL MES,ALGUNOS DIAS POR SEMANA,NUNCA,ALGUNAS VECES AL MES,NUNCA,ALGUNA VEZ AL AÑO O MENOS,NUNCA,NUNCA,NUNCA,ALGUNA VEZ CADA 3 MESES,SI,NO,NO,NO,NO,TODOS O CASI TODOS LOS DÍAS,NA,NA,NA,NA,NO,NA, ,ALGUNA VEZ AL AÑO O MENOS,ALGUNA VEZ CADA 3 MESES,NUNCA,ALGUNA VEZ AL AÑO O MENOS,NUNCA,ALGUNOS DIAS POR SEMANA,ALGUNA VEZ AL AÑO O MENOS,6,0,6,0,"COMENTA, COMPARTE, PARTICIPA Y/U OPINA FRENTE A CONTENIDOS",NA,,,,,,,,,,,,1,NINGUNA,SI,1,SI,NO,190,190,0,NO,NA,,,0,0,NA,NA,NA,NA,,0,0,0,0,60,60,1,60,80,1.333333333,120,120,2,540,540,9,360,360,6,0,0,0
724,PATAGONIA,Varón,45,SI,, ,NA,NA,SI,NA,,INCLUYE TELÉFONO Y CABLE,320,320,TODOS O CASI TODOS LOS DÍAS,TODOS O CASI TODOS LOS DÍAS,NUNCA,NUNCA,2,NO USA,2,NO USA,ALGUNOS DIAS POR SEMANA,TODOS O CASI TODOS LOS DÍAS,NUNCA,ALGUNA VEZ CADA 3 MESES,NUNCA,ALGUNA VEZ CADA 3 MESES,NUNCA,ALGUNA VEZ CADA 3 MESES,NUNCA,ALGUNA VEZ CADA 3 MESES,SI,NO,NO,NO,NO,TODOS O CASI TODOS LOS DÍAS,NA,NA,NA,NA,NO,NA, ,ALGUNA VEZ AL AÑO O MENOS,ALGUNAS VECES AL MES,ALGUNA VEZ AL AÑO O MENOS,ALGUNA VEZ AL AÑO O MENOS,NUNCA,TODOS O CASI TODOS LOS DÍAS,ALGUNOS DIAS POR SEMANA,6,0,6,0,"OBSERVA LOS CONTENIDOS, SIN HACER COMENTARIOS",NA,,,,,,,,,,,,2,1,SI,1,SI,SI,400,400,0,NO,NA,,,0,0,NA,NA,NA,NA,,0,60,60,1,60,60,1,0,45,0.75,180,180,3,120,120,2,360,360,6,0,0,0
725,PATAGONIA,Varón,69,SI,, ,NA,NA,SI,NA,,INCLUYE TELÉFONO Y CABLE,NS/NC,NS/NC,TODOS O CASI TODOS LOS DÍAS,TODOS O CASI TODOS LOS DÍAS,NUNCA,NUNCA,1,NO USA,1,NO USA,ALGUNAS VECES AL MES,ALGUNOS DIAS POR SEMANA,NUNCA,ALGUNAS VECES AL MES,NUNCA,NUNCA,ALGUNA VEZ CADA 3 MESES,ALGUNA VEZ AL AÑO O MENOS,ALGUNA VEZ CADA 3 MESES,ALGUNA VEZ CADA 3 MESES,SI,SI,NO,NO,NO,ALGUNOS DIAS POR SEMANA,ALGUNOS DIAS POR SEMANA,NA,NA,NA,NO,NA, ,ALGUNA VEZ CADA 3 MESES,ALGUNA VEZ AL AÑO O MENOS,NUNCA,NUNCA,NUNCA,ALGUNAS VECES AL MES,ALGUNA VEZ CADA 3 MESES,0,30,0,30,"COMENTA, COMPARTE, PARTICIPA Y/U OPINA FRENTE A CONTENIDOS",NA,,,,,,,,,,,,1,NINGUNA,SI,1,SI,SI,250,250,0,NO,NA,,,0,0,NA,NA,NA,NA,,0,120,150,2.5,0,30,0.5,60,90,1.5,60,90,1.5,60,60,1,0,30,0.5,0,0,0
726,PATAGONIA,Mujer,17,SI,, ,NA,NA,NO,SI,NS/NC,NA,,0,NUNCA,TODOS O CASI TODOS LOS DÍAS,NUNCA,NUNCA,8,NO USA,8,NO USA,ALGUNAS VECES AL MES,ALGUNA VEZ AL AÑO O MENOS,ALGUNOS DIAS POR SEMANA,NUNCA,ALGUNOS DIAS POR SEMANA,NUNCA,NUNCA,NUNCA,ALGUNAS VECES AL MES,NUNCA,SI,SI,NO,NO,NO,TODOS O CASI TODOS LOS DÍAS,ALGUNOS DIAS POR SEMANA,NA,NA,NA,NO,NA, ,NUNCA,ALGUNAS VECES AL MES,NUNCA,ALGUNAS VECES AL MES,NUNCA,TODOS O CASI TODOS LOS DÍAS,NUNCA,6,0,6,0,"COMENTA, COMPARTE, PARTICIPA Y/U OPINA FRENTE A CONTENIDOS",NA,,,,,,,,,,,,NINGUNA,NINGUNA,NO,1,SI,NO,250,250,0,NO,NA,,,0,0,NA,NA,NA,NA,,0,0,40,0.666666667,60,60,1,0,0,0,0,15,0.25,480,480,8,360,360,6,0,0,0
727,PATAGONIA,Mujer,21,SI,, ,NA,NA,SI,NA,,INCLUYE TELÉFONO Y CABLE,450,450,ALGUNAS VECES AL MES,TODOS O CASI TODOS LOS DÍAS,NUNCA,NUNCA,12,NO USA,12,NO USA,ALGUNAS VECES AL MES,ALGUNOS DIAS POR SEMANA,NUNCA,NUNCA,ALGUNAS VECES AL MES,NUNCA,NUNCA,NUNCA,ALGUNA VEZ CADA 3 MESES,ALGUNA VEZ CADA 3 MESES,SI,SI,NO,SI,NO,TODOS O CASI TODOS LOS DÍAS,TODOS O CASI TODOS LOS DÍAS,NA,ALGUNAS VECES AL MES,NA,NO,NA, ,TODOS O CASI TODOS LOS DÍAS,NUNCA,ALGUNAS VECES AL MES,NUNCA,NUNCA,TODOS O CASI TODOS LOS DÍAS,NUNCA,12,0,12,0,"COMENTA, COMPARTE, PARTICIPA Y/U OPINA FRENTE A CONTENIDOS",NA,,,,,,,,,,,,NINGUNA,1,SI,1,SI,SI,300,300,0,NO,NA,,,0,0,NA,NA,NA,NA,,0,120,120,2,480,480,8,0,10,0.166666667,600,600,10,720,720,12,720,720,12,0,0,0
728,PATAGONIA,Mujer,36,SI,, ,NA,NA,SI,NA,,INCLUYE TELÉFONO Y CABLE,200,200,TODOS O CASI TODOS LOS DÍAS,TODOS O CASI TODOS LOS DÍAS,ALGUNOS DIAS POR SEMANA,ALGUNOS DIAS POR SEMANA,12,NO USA,12,NO USA,TODOS O CASI TODOS LOS DÍAS,ALGUNOS DIAS POR SEMANA,TODOS O CASI TODOS LOS DÍAS,ALGUNOS DIAS POR SEMANA,ALGUNOS DIAS POR SEMANA,ALGUNOS DIAS POR SEMANA,ALGUNAS VECES AL MES,ALGUNAS VECES AL MES,NUNCA,ALGUNOS DIAS POR SEMANA,SI,NO,NO,NO,NO,TODOS O CASI TODOS LOS DÍAS,NA,NA,NA,NA,NO,NA, ,ALGUNA VEZ AL AÑO O MENOS,ALGUNAS VECES AL MES,NUNCA,ALGUNA VEZ AL AÑO O MENOS,ALGUNA VEZ AL AÑO O MENOS,ALGUNAS VECES AL MES,ALGUNAS VECES AL MES,1,0,1,0,"PUBLICA, EDITA, CREA, CONSTRUYE Y/O RECICLA CONTENIDOS",FOTOS,IMÁGENES,TUTORIALES EN VIDEO DONDE ENSEÑA A OTROS A HACER ALGO,TEXTOS LITERARIOS,NOTICIAS Y OPINION,,,,,,,,4,NINGUNA,SI,2,SI,NO,299,299,0,NO,NA,,,0,0,NA,NA,NA,NA,,0,120,120,2,0,30,0.5,0,15,0.25,60,60,1,720,720,12,60,60,1,0,0,0
729,PATAGONIA,Mujer,49,SI,, ,NA,NA,SI,NA,,INCLUYE TELÉFONO,570,570,TODOS O CASI TODOS LOS DÍAS,TODOS O CASI TODOS LOS DÍAS,NUNCA,NUNCA,6,NO USA,6,NO USA,TODOS O CASI TODOS LOS DÍAS,TODOS O CASI TODOS LOS DÍAS,TODOS O CASI TODOS LOS DÍAS,ALGUNOS DIAS POR SEMANA,NUNCA,ALGUNOS DIAS POR SEMANA,ALGUNOS DIAS POR SEMANA,ALGUNOS DIAS POR SEMANA,TODOS O CASI TODOS LOS DÍAS,ALGUNOS DIAS POR SEMANA,SI,NO,NO,NO,NO,TODOS O CASI TODOS LOS DÍAS,NA,NA,NA,NA,NO,NA, ,ALGUNOS DIAS POR SEMANA,ALGUNOS DIAS POR SEMANA,ALGUNAS VECES AL MES,NUNCA,NUNCA,ALGUNOS DIAS POR SEMANA,ALGUNOS DIAS POR SEMANA,1,0,1,0,"COMENTA, COMPARTE, PARTICIPA Y/U OPINA FRENTE A CONTENIDOS",NA,,,,,,,,,,,,1,NINGUNA,SI,2,SI,NO,390,390,0,NO,NA,,,0,0,NA,NA,NA,NA,,0,120,120,2,240,240,4,0,20,0.333333333,0,30,0.5,360,360,6,60,60,1,0,0,0
